"Vulnerabilities per 30 days","Count of Vulnerabilities"
"1999-09-26",321
"1999-10-26",0
"1999-11-25",0
"1999-12-25",182
"2000-01-24",400
"2000-02-23",77
"2000-03-24",59
"2000-04-23",60
"2000-05-23",79
"2000-06-22",155
"2000-07-22",15
"2000-08-21",0
"2000-09-20",332
"2000-10-20",0
"2000-11-19",53
"2000-12-19",56
"2001-01-18",293
"2001-02-17",39
"2001-03-19",45
"2001-04-18",201
"2001-05-18",91
"2001-06-17",0
"2001-07-17",61
"2001-08-16",421
"2001-09-15",139
"2001-10-15",0
"2001-11-14",36
"2001-12-14",3
"2002-01-13",110
"2002-02-12",443
"2002-03-14",140
"2002-04-13",224
"2002-05-13",172
"2002-06-12",196
"2002-07-12",92
"2002-08-11",189
"2002-09-10",39
"2002-10-10",29
"2002-11-09",34
"2002-12-09",32
"2003-01-08",28
"2003-02-07",9
"2003-03-09",497
"2003-04-08",49
"2003-05-08",128
"2003-06-07",109
"2003-07-07",117
"2003-08-06",64
"2003-09-05",81
"2003-10-05",68
"2003-11-04",57
"2003-12-04",27
"2004-01-03",68
"2004-02-02",22
"2004-03-03",177
"2004-04-02",61
"2004-05-02",53
"2004-06-01",120
"2004-07-01",121
"2004-07-31",58
"2004-08-30",565
"2004-09-29",81
"2004-10-29",53
"2004-11-28",224
"2004-12-28",154
"2005-01-27",788
"2005-02-26",515
"2005-03-28",544
"2005-04-27",846
"2005-05-27",453
"2005-06-26",818
"2005-07-26",593
"2005-08-25",288
"2005-09-24",264
"2005-10-24",688
"2005-11-23",809
"2005-12-23",458
"2006-01-22",520
"2006-02-21",552
"2006-03-23",655
"2006-04-22",553
"2006-05-22",645
"2006-06-21",608
"2006-07-21",483
"2006-08-20",540
"2006-09-19",590
"2006-10-19",528
"2006-11-18",633
"2006-12-18",626
"2007-01-17",695
"2007-02-16",638
"2007-03-18",577
"2007-04-17",712
"2007-05-17",508
"2007-06-16",581
"2007-07-16",538
"2007-08-15",475
"2007-09-14",608
"2007-10-14",844
"2007-11-13",420
"2007-12-13",529
"2008-01-12",432
"2008-02-11",592
"2008-03-12",470
"2008-04-11",405
"2008-05-11",438
"2008-06-10",470
"2008-07-10",462
"2008-08-09",368
"2008-09-08",461
"2008-10-08",550
"2008-11-07",399
"2008-12-07",482
"2009-01-06",558
"2009-02-05",726
"2009-03-07",480
"2009-04-06",555
"2009-05-06",373
"2009-06-05",435
"2009-07-05",417
"2009-08-04",559
"2009-09-03",567
"2009-10-03",316
"2009-11-02",318
"2009-12-02",438
"2010-01-01",319
"2010-01-31",308
"2010-03-02",515
"2010-04-01",520
"2010-05-01",408
"2010-05-31",472
"2010-06-30",325
"2010-07-30",394
"2010-08-29",301
"2010-09-28",433
"2010-10-28",295
"2010-11-27",315
"2010-12-27",403
"2011-01-26",394
"2011-02-25",363
"2011-03-27",310
"2011-04-26",293
"2011-05-26",288
"2011-06-25",304
"2011-07-25",288
"2011-08-24",251
"2011-09-23",617
"2011-10-23",285
"2011-11-22",339
"2011-12-22",313
"2012-01-21",367
"2012-02-20",370
"2012-03-21",268
"2012-04-20",379
"2012-05-20",353
"2012-06-19",506
"2012-07-19",557
"2012-08-18",799
"2012-09-17",674
"2012-10-17",332
"2012-11-16",403
"2012-12-16",282
"2013-01-15",524
"2013-02-14",407
"2013-03-16",352
"2013-04-15",467
"2013-05-15",322
"2013-06-14",432
"2013-07-14",393
"2013-08-13",417
"2013-09-12",609
"2013-10-12",460
"2013-11-11",490
"2013-12-11",403
"2014-01-10",607
"2014-02-09",452
"2014-03-11",544
"2014-04-10",687
"2014-05-10",542
"2014-06-09",559
"2014-07-09",472
"2014-08-08",406
"2014-09-07","1,250"
"2014-10-07","1,353"
"2014-11-06",516
