"date per month","Vulnerabilitites per day"
"2000-01-01",182
"2000-02-01",407
"2000-03-01",70
"2000-04-01",112
"2000-05-01",12
"2000-06-01",74
"2000-07-01",155
"2000-08-01",15
"2000-09-01",48
"2000-10-01",284
"2000-11-01",53
"2000-12-01",56
"2001-01-01",232
"2001-02-01",61
"2001-03-01",39
"2001-04-01",45
"2001-05-01",292
"2001-06-01",0
"2001-07-01",61
"2001-08-01",25
"2001-09-01",490
"2001-10-01",45
"2001-11-01",36
"2001-12-01",0
"2002-01-01",3
"2002-02-01",117
"2002-03-01",571
"2002-04-01",10
"2002-05-01",223
"2002-06-01",361
"2002-07-01",79
"2002-08-01",205
"2002-09-01",21
"2002-10-01",45
"2002-11-01",33
"2002-12-01",31
"2003-01-01",23
"2003-02-01",18
"2003-03-01",138
"2003-04-01",397
"2003-05-01",121
"2003-06-01",112
"2003-07-01",92
"2003-08-01",72
"2003-09-01",105
"2003-10-01",76
"2003-11-01",47
"2003-12-01",37
"2004-01-01",68
"2004-02-01",22
"2004-03-01",177
"2004-04-01",61
"2004-05-01",53
"2004-06-01",120
"2004-07-01",121
"2004-08-01",58
"2004-09-01",565
"2004-10-01",81
"2004-11-01",53
"2004-12-01",248
"2005-01-01",175
"2005-02-01",827
"2005-03-01",506
"2005-04-01",518
"2005-05-01",861
"2005-06-01",661
"2005-07-01",593
"2005-08-01",584
"2005-09-01",316
"2005-10-01",358
"2005-11-01",717
"2005-12-01",687
"2006-01-01",541
"2006-02-01",513
"2006-03-01",607
"2006-04-01",609
"2006-05-01",636
"2006-06-01",642
"2006-07-01",533
"2006-08-01",558
"2006-09-01",562
"2006-10-01",564
"2006-11-01",545
"2006-12-01",635
"2007-01-01",736
"2007-02-01",627
"2007-03-01",640
"2007-04-01",632
"2007-05-01",599
"2007-06-01",559
"2007-07-01",594
"2007-08-01",533
"2007-09-01",480
"2007-10-01",957
"2007-11-01",495
"2007-12-01",440
"2008-01-01",502
"2008-02-01",539
"2008-03-01",522
"2008-04-01",459
"2008-05-01",388
"2008-06-01",438
"2008-07-01",522
"2008-08-01",374
"2008-09-01",455
"2008-10-01",543
"2008-11-01",433
"2008-12-01",530
"2009-01-01",469
"2009-02-01",689
"2009-03-01",567
"2009-04-01",569
"2009-05-01",367
"2009-06-01",452
"2009-07-01",449
"2009-08-01",531
"2009-09-01",576
"2009-10-01",353
"2009-11-01",316
"2009-12-01",440
"2010-01-01",319
"2010-02-01",308
"2010-03-01",515
"2010-04-01",520
"2010-05-01",408
"2010-06-01",493
"2010-07-01",344
"2010-08-01",383
"2010-09-01",301
"2010-10-01",435
"2010-11-01",280
"2010-12-01",361
"2011-01-01",397
"2011-02-01",382
"2011-03-01",356
"2011-04-01",312
"2011-05-01",296
"2011-06-01",294
"2011-07-01",308
"2011-08-01",295
"2011-09-01",389
"2011-10-01",484
"2011-11-01",312
"2011-12-01",347
"2012-01-01",317
"2012-02-01",359
"2012-03-01",394
"2012-04-01",228
"2012-05-01",434
"2012-06-01",413
"2012-07-01",536
"2012-08-01",741
"2012-09-01",670
"2012-10-01",544
"2012-11-01",445
"2012-12-01",270
"2013-01-01",443
"2013-02-01",422
"2013-03-01",434
"2013-04-01",434
"2013-05-01",358
"2013-06-01",370
"2013-07-01",500
"2013-08-01",360
"2013-09-01",511
"2013-10-01",605
"2013-11-01",394
"2013-12-01",493
"2014-01-01",579
"2014-02-01",445
"2014-03-01",566
"2014-04-01",656
"2014-05-01",558
"2014-06-01",446
"2014-07-01",657
"2014-08-01",184
